"Index Name","Date","Open","High","Low","Close"
"NIFTY BANK","15 Mar 2024","46572.10","46802.55","46310.50","46594.10"
"NIFTY BANK","14 Mar 2024","46825.75","47231.50","46565.55","46789.95"
"NIFTY BANK","13 Mar 2024","47341.15","47468.70","46842.15","46981.30"
"NIFTY BANK","12 Mar 2024","47351.35","47812.75","46884.45","47282.40"
"NIFTY BANK","11 Mar 2024","47792.20","47853.80","47230.65","47327.85"
"NIFTY BANK","07 Mar 2024","48035.80","48071.70","47747.20","47835.80"
"NIFTY BANK","06 Mar 2024","47451.65","48161.25","47442.25","47965.40"
"NIFTY BANK","05 Mar 2024","47265.70","47737.85","47196.75","47581.00"
"NIFTY BANK","04 Mar 2024","47318.50","47529.60","47191.65","47456.10"
"NIFTY BANK","02 Mar 2024","47377.45","47433.85","47237.00","47297.50"
"NIFTY BANK","01 Mar 2024","46218.00","47342.25","46218.00","47286.90"
"NIFTY BANK","29 Feb 2024","45881.45","46329.65","45661.75","46120.90"
"NIFTY BANK","28 Feb 2024","46640.90","46754.55","45852.55","45963.15"
"NIFTY BANK","27 Feb 2024","46480.20","46722.25","46324.90","46588.05"
"NIFTY BANK","26 Feb 2024","46615.85","46893.15","46513.55","46576.50"
"NIFTY BANK","23 Feb 2024","47060.70","47245.35","46723.15","46811.75"
"NIFTY BANK","22 Feb 2024","46934.55","47024.05","46426.85","46919.80"
"NIFTY BANK","21 Feb 2024","47363.40","47363.40","46886.95","47019.70"
"NIFTY BANK","20 Feb 2024","46444.90","47136.75","46367.80","47094.20"
"NIFTY BANK","19 Feb 2024","46554.90","46717.40","46317.70","46535.50"
"NIFTY BANK","16 Feb 2024","46454.30","46693.40","46264.40","46384.85"
"NIFTY BANK","15 Feb 2024","46027.10","46297.70","45590.20","46218.90"
"NIFTY BANK","14 Feb 2024","45014.65","46170.45","44860.75","45908.30"
"NIFTY BANK","13 Feb 2024","45056.80","45750.40","44819.55","45502.40"
"NIFTY BANK","12 Feb 2024","45664.30","45748.50","44633.85","44882.25"
"NIFTY BANK","09 Feb 2024","44986.75","45718.15","44859.15","45634.55"
"NIFTY BANK","08 Feb 2024","45973.85","46181.20","44893.75","45012.00"
"NIFTY BANK","07 Feb 2024","45944.60","46062.85","45620.50","45818.50"
"NIFTY BANK","06 Feb 2024","45891.20","45932.15","45527.00","45690.80"
"NIFTY BANK","05 Feb 2024","45962.25","46048.60","45615.10","45825.55"
"NIFTY BANK","02 Feb 2024","46568.20","46892.35","45901.25","45970.95"
"NIFTY BANK","01 Feb 2024","46164.90","46306.90","45668.35","46188.65"
"NIFTY BANK","31 Jan 2024","45295.65","46179.75","45071.20","45996.80"
"NIFTY BANK","30 Jan 2024","45481.50","45678.70","45206.05","45367.75"
"NIFTY BANK","29 Jan 2024","45171.50","45660.35","45110.90","45442.35"
"NIFTY BANK","25 Jan 2024","45057.95","45139.05","44429.00","44866.15"
"NIFTY BANK","24 Jan 2024","44489.40","45485.50","44489.40","45082.40"
"NIFTY BANK","23 Jan 2024","46495.45","46580.30","44886.10","45015.05"
"NIFTY BANK","20 Jan 2024","45989.25","46183.70","45640.90","46058.20"
"NIFTY BANK","19 Jan 2024","46103.50","46249.85","45558.05","45701.15"
"NIFTY BANK","18 Jan 2024","45492.75","46184.05","45430.70","45713.55"
"NIFTY BANK","17 Jan 2024","46573.95","47212.75","45979.60","46064.45"
"NIFTY BANK","16 Jan 2024","48109.95","48305.40","48002.85","48125.10"
"NIFTY BANK","15 Jan 2024","47891.05","48248.05","47825.40","48158.30"
"NIFTY BANK","12 Jan 2024","47572.70","47873.70","47408.50","47709.80"
"NIFTY BANK","11 Jan 2024","47538.60","47662.10","47237.00","47438.35"
"NIFTY BANK","10 Jan 2024","47073.85","47423.45","47010.80","47360.85"
"NIFTY BANK","09 Jan 2024","47705.40","47939.30","47156.05","47242.65"
"NIFTY BANK","08 Jan 2024","48096.65","48154.50","47387.35","47450.25"
